Norway,81.711,67614
Australia,82.537,42822
Switzerland,83.133,56364
Germany,81.092,45000
Denmark,80.412,44519
Singapore,83.209,78162
Netherlands,81.706,46326
Ireland,81.052,43798
Iceland,82.724,37065
Canada,82.224,42582
UnitedStates,79.222,53245
HongKong,84.163,54265
NewZealand,82.026,32870
Sweden,82.347,46251
Liechtenstein,80.161,75065
UnitedKingdom,80.849,37931
Japan,83.684,37268
Korea(Republicof),82.128,34541
Israel,82.561,31215
Luxembourg,81.881,62471
France,82.359,38085
Belgium,80.984,41243
Finland,81.006,38868
Austria,81.583,43609
Slovenia,80.575,28664
Italy,83.338,33573
Spain,82.767,32779
CzechRepublic,78.775,28144
Greece,81.071,24808
BruneiDarussalam,79.019,72843
Estonia,77.012,26362
Andorra,81.458,47979
Cyprus,80.332,29459
Malta,80.726,29500
//Qatar,78.323,129916
Poland,77.62,24117
Lithuania,73.495,26006
Chile,81.956,21665
SaudiArabia,74.444,51320
Slovakia,76.409,26764
Portugal,81.183,26104
UnitedArabEmirates,77.119,66203
Hungary,75.313,23394
Latvia,74.342,22589
Argentina,76.457,20945
Croatia,77.495,20291
Bahrain,76.715,37236
Montenegro,76.401,15410
RussianFederation,70.264,23286
Romania,74.837,19428
Kuwait,74.549,76075
Belarus,71.464,15629
Oman,76.97,34402
Barbados,75.773,14952
Uruguay,77.351,19148
Bulgaria,74.322,16261
Kazakhstan,69.588,22093
Bahamas,75.556,21565
Malaysia,74.901,24620
Palau,72.87,13771
Panama,77.755,19470
AntiguaandBarbuda,76.236,20907
Seychelles,73.303,23886
Mauritius,74.595,17948
TrinidadandTobago,70.52,28049
CostaRica,79.613,14006
Serbia,75.049,12202
Cuba,79.573,7455
Iran(IslamicRepublicof),75.581,16395
Georgia,75.02,8856
Turkey,75.528,18705
Venezuela(BolivarianRepublicof),74.387,15129
SriLanka,75.049,10789
SaintKittsandNevis,73.979,22436
Albania,77.968,10252
Lebanon,79.537,13312
Mexico,76.972,16383
Azerbaijan,70.896,16413
Brazil,74.748,14145
Grenada,73.557,11502
BosniaandHerzegovina,76.634,10091
TheformerYugoslavRepublicofMacedonia,75.532,12405
Algeria,75.027,13533
Armenia,74.886,8189
Ukraine,71.129,7361
Jordan,74.175,10111
Peru,74.814,11295
Thailand,74.616,14519
Ecuador,76.121,10536
China,75.963,13345
Fiji,70.151,8245
Mongolia,69.806,10449
SaintLucia,75.199,9791
Jamaica,75.82,8350
Colombia,74.229,12762
Dominica,77.854,10096
Suriname,71.277,16018
Tunisia,74.982,10249
DominicanRepublic,73.65,12756
SaintVincentandtheGrenadines,73.043,10372
Tonga,72.989,5284
Libya,71.763,14303
Belize,70.076,7375
Samoa,73.673,5372
Maldives,76.959,10383
Uzbekistan,69.4,5748
Moldova(Republicof),71.731,5026
Botswana,64.508,14663
Gabon,64.936,19044
Paraguay,73.004,8182
Egypt,71.325,10064
Turkmenistan,65.734,14026
Indonesia,69.052,10053
Palestine,Stateof,73.068
VietNam,75.939,5335
Philippines,68.34,8395
ElSalvador,73.271,7732
Bolivia(PlurinationalStateof),68.743,6155
SouthAfrica,57.658,12087
Kyrgyzstan,70.791,3097
Iraq,69.626,11608
CaboVerde,73.538,6049
Morocco,74.31,7195
Nicaragua,75.212,4747
Guatemala,72.062,7063
Namibia,65.062,9770
Guyana,66.499,6884
Micronesia(FederatedStatesof),69.268,3291
Tajikistan,69.582,2601
Honduras,73.334,4466
India,68.322,5663
Bhutan,69.852,7081
Timor-Leste,68.514,5371
Vanuatu,72.107,2805
Congo,62.892,5503
EquatorialGuinea,57.909,21517
Kiribati,66.229,2475
LaoPeople'sDemocraticRepublic,66.598,5049
Bangladesh,71.985,3341
Ghana,61.531,3839
Zambia,60.819,3464
SaoTomeandPrincipe,66.582,3070
Cambodia,68.807,3095
Nepal,69.989,2337
Myanmar,66.118,4943
Kenya,62.164,2881
Pakistan,66.365,5031
Swaziland,48.943,7522
SyrianArabRepublic,69.652,2441
Angola,52.698,6291
Tanzania(UnitedRepublicof),65.512,2467
Nigeria,53.057,5443
Cameroon,55.958,2894
PapuaNewGuinea,62.769,2712
Zimbabwe,59.2,1588
SolomonIslands,68.107,1561
Mauritania,63.239,3527
Madagascar,65.515,1320
Rwanda,64.749,1617
Comoros,63.567,1335
Lesotho,50.08,3319
Senegal,66.929,2250
Haiti,63.119,1657
Uganda,59.209,1670
Sudan,63.732,3846
Togo,60.175,1262
Benin,59.76,1979
Yemen,64.053,2300
Afghanistan,60.704,1871
Malawi,63.88,1073
C̫ted'Ivoire,51.889,3163
Djibouti,62.297,3216
Gambia,60.463,1541
Ethiopia,64.602,1523
Mali,58.474,2218
Congo(DemocraticRepublicofthe),59.057,680
Liberia,61.188,683
Guinea-Bissau,55.486,1369
Eritrea,64.186,1490
SierraLeone,51.317,1529
Mozambique,55.478,1098
SouthSudan,56.134,1882
Guinea,59.215,1058
Burundi,57.118,691
BurkinaFaso,59.007,1537
Chad,51.897,1991
Niger,61.936,889
CentralAfricanRepublic,51.458,587
